0.90196	0.90196	0.94118
0.90078	0.89852	0.9387
0.89959	0.89507	0.93622
0.89841	0.89163	0.93375
0.89722	0.88818	0.93127
0.89604	0.88474	0.9288
0.89486	0.88129	0.92632
0.89367	0.87785	0.92384
0.89249	0.8744	0.92137
0.8913	0.87096	0.91889
0.89012	0.86751	0.91642
0.88894	0.86407	0.91394
0.88775	0.86062	0.91146
0.88657	0.85718	0.90899
0.88538	0.85373	0.90651
0.8842	0.85029	0.90404
0.88301	0.84684	0.90156
0.88183	0.8434	0.89908
0.88065	0.83995	0.89661
0.87946	0.83651	0.89413
0.87828	0.83306	0.89166
0.87709	0.82962	0.88918
0.87591	0.82617	0.88671
0.87473	0.82273	0.88423
0.87354	0.81928	0.88175
0.87236	0.81584	0.87928
0.87117	0.8124	0.8768
0.86999	0.80895	0.87433
0.8688	0.80551	0.87185
0.86762	0.80206	0.86937
0.86644	0.79862	0.8669
0.86525	0.79517	0.86442
0.86407	0.79173	0.86195
0.86288	0.78828	0.85947
0.8617	0.78484	0.85699
0.86052	0.78139	0.85452
0.85933	0.77795	0.85204
0.85839	0.77456	0.84969
0.85764	0.77123	0.84743
0.85689	0.76789	0.84517
0.85613	0.76455	0.84291
0.85538	0.76121	0.84065
0.85463	0.75788	0.83839
0.85387	0.75454	0.83612
0.85312	0.7512	0.83386
0.85236	0.74787	0.8316
0.85161	0.74453	0.82934
0.85086	0.74119	0.82708
0.8501	0.73785	0.82482
0.84935	0.73452	0.82256
0.8486	0.73118	0.8203
0.84784	0.72784	0.81804
0.84709	0.72451	0.81578
0.84634	0.72117	0.81352
0.84558	0.71783	0.81126
0.84483	0.71449	0.809
0.84408	0.71116	0.80674
0.84332	0.70782	0.80448
0.84257	0.70448	0.80221
0.84181	0.70115	0.79995
0.84106	0.69781	0.79769
0.84031	0.69447	0.79543
0.83955	0.69113	0.79317
0.8388	0.6878	0.79091
0.83805	0.68446	0.78865
0.83729	0.68112	0.78639
0.83654	0.67779	0.78413
0.83579	0.67445	0.78187
0.83503	0.67111	0.77961
0.83428	0.66777	0.77735
0.83353	0.66444	0.77509
0.83277	0.6611	0.77283
0.83202	0.65776	0.77057
0.83137	0.65449	0.76834
0.83137	0.65158	0.76629
0.83137	0.64867	0.76424
